State	LogProb	m[0][0]	m[0][1]	m[0][2]	m[1][0]	m[1][1]	m[1][2]	m[2][0]	m[2][1]	m[2][2]	
96000	-53339	0.991171	0.00277495	0.0060537	0.0124031	0.971406	0.0161904	0.00511163	0.0189732	0.975915	
97000	-53341.4	0.980359	0.00357749	0.0160639	0.0355218	0.957043	0.00743554	0.0102145	0.0111593	0.978626	
98000	-53310.6	0.993156	0.00371814	0.00312585	0.00949482	0.959717	0.0307883	0.0607432	0.00309004	0.936167	
99000	-53278	0.99456	0.00274882	0.00269151	0.00234969	0.962105	0.035545	0.0713597	0.0204788	0.908161	
100000	-53300.7	0.981988	0.00122145	0.0167904	0.0110897	0.976127	0.0127831	0.00897878	0.00726631	0.983755	
101000	-53301.7	0.989886	0.00522617	0.00488787	0.0072584	0.974783	0.017959	0.0239498	0.0107651	0.965285	
102000	-53313.2	0.979808	0.00830896	0.0118835	0.0117595	0.944962	0.0432786	0.0100808	0.014549	0.97537	
103000	-53311.9	0.97566	0.000552618	0.0237874	0.0115155	0.986352	0.00213255	0.0506666	0.00141522	0.947918	
104000	-53349.3	0.962462	0.00544789	0.0320899	0.0146084	0.984099	0.00129251	0.0211364	0.0326994	0.946164	
105000	-53328.4	0.996421	0.000676968	0.00290198	0.00240941	0.98176	0.0158304	0.0475438	0.0169788	0.935477	
106000	-53327.3	0.984581	0.0106173	0.00480194	0.0109218	0.987289	0.00178953	0.00890941	0.105347	0.885744	
107000	-53343	0.984515	0.00809836	0.0073865	0.00710621	0.983624	0.00926979	0.0193506	0.124122	0.856528	
108000	-53353.2	0.995659	0.00037565	0.00396515	0.0046901	0.978525	0.0167844	0.0169298	0.00443451	0.978636	
109000	-53365.7	0.960927	0.0068673	0.0322058	0.00698864	0.989066	0.00394572	0.0224128	0.129421	0.848166	
110000	-53357.4	0.994218	0.00203527	0.00374653	0.00494467	0.992149	0.00290642	0.0288024	0.00650806	0.96469	
111000	-53355.2	0.984595	0.00459792	0.0108073	0.00843867	0.989717	0.00184428	0.066332	0.0670099	0.866658	
112000	-53352.6	0.998085	0.000807026	0.00110793	0.00363579	0.989349	0.0070156	0.0441268	0.0204335	0.93544	
113000	-53330.3	0.983116	0.00715747	0.00972644	0.00292701	0.980375	0.0166976	0.00015074	0.00972841	0.990121	
114000	-53339.5	0.984014	0.000730301	0.0152557	0.0149464	0.963986	0.0210674	0.0248335	0.00804823	0.967118	
115000	-53345.9	0.991038	0.000103175	0.00885909	0.00253266	0.990262	0.00720549	0.0160979	0.0290692	0.954833	
116000	-53348.8	0.916591	0.0217574	0.0616518	0.0006921	0.988593	0.0107148	0.00980651	0.00479326	0.9854	
117000	-53332	0.985292	0.00867119	0.00603705	0.00490386	0.995092	3.94593e-06	0.0733589	0.0295621	0.897079	
118000	-53314.9	0.994968	0.00473744	0.000294936	0.0010086	0.97508	0.0239109	0.00095613	0.0200369	0.979007	
119000	-53287.5	0.969021	0.0171568	0.0138219	0.00155539	0.990577	0.00786738	0.0567883	0.0351929	0.908019	
120000	-53291.7	0.982452	0.0142461	0.00330168	0.0118034	0.978152	0.0100441	0.0354592	0.0274447	0.937096	
121000	-53303.2	0.983169	0.015705	0.00112622	0.0056098	0.99176	0.00262997	0.0358001	0.0147713	0.949429	
122000	-53341.7	0.991372	0.00109915	0.00752885	0.00435677	0.97423	0.0214132	0.111936	0.0359774	0.852086	
123000	-53335.7	0.978353	0.011812	0.00983519	0.019145	0.971813	0.00904163	0.0336982	0.00715827	0.959144	
